Ukrainian alphabet,Latin alphabet,Position in a word,in Ukrainian alphabet,in Latin alphabet
Аа,Aа,,Алушта Андрій,Alushta Andrii
Бб,Bb,,Борщагівка Борисенко,Borshchahivkа Borysenko
Вв,Vv,,Вінниця Володимир,Vinnytsia Volodymyr
Гг,Hh,,Гадяч Богдан Згурський,Hadiach Bohdan Zghurskyi
Ґґ,Gg,,Ґалаґан Ґорґани,Galagan Gorgany
Дд,Dd,,Донецьк Дмитро,Donetsk Dmytro
Ее,Eе,,Рівне Олег Есмань,Rivne Oleh Esman
Єє,Ye ie,"initial position
in other positions",Єнакієве Гаєвич Короп'є,"Yenakiieve Haievych
Koropie"
Ukrainian alphabet,Latin alphabet,Position in a word,in Ukrainian alphabet,in Latin alphabet
Жж,Zh zh,,"Житомир Жанна
Жежелів","Zhytomyr Zhanna
Zhezheliv"
Зз,Zz,,Закарпаття Казимирчук,Zakarpattia Kazymyrchuk
Ии,Yy,,Медвин Михайленко,Medvyn Mykhailenko
Іі,Ii,,Іванків Іващенко,Ivankiv Ivashchenko
Її,Yi i,"initial position
in other positions","Їжакевич Кадиївка
Мар’їне","Yizhakevych Kadyivka
Marine"
Йй,"Y
i","initial position
in other positions",Йосипівка Стрий Олексій,Yosypivka Stryi Oleksii
Кк,Kk,,Київ Коваленко,Kyiv Kovalenko
Лл,Ll,,Лебедин Леонід,Lebedyn Leonid
Мм,Mm,,Миколаїв Маринич,Mykolaiv Marynych
Ukrainian alphabet,Latin alphabet,Position in a word,in Ukrainian alphabet,in Latin alphabet
Нн,Nn,,Ніжин Наталія,Nizhyn Nataliіa
Оо,Oo,,Одеса Онищенко,Odesa Onyshchenko
Пп,Pp,,Полтава Петро,Poltava Petro
Рр,Rr,,Решетилівка Рибчинський,Reshetylivka Rybchynskyi
Сс,Ss,,Суми Соломія,Sumy Solomiia
Тт,Tt,,Тернопіль Троць,Ternopil Trots
Уу,Uu,,Ужгород Уляна,Uzhhorod Uliana
Фф,Ff,,Фастів Філіпчук,Fastiv Filipchuk
Хх,Kh kh,,Харків Христина,Kharkiv Khrystyna
Ukrainian alphabet,Latin alphabet,Position in a word,in Ukrainian alphabet,in Latin alphabet
Цц,Ts ts,,"Біла Церква
Стеценко","Bila Tserkva
Stetsenko"
Чч,Ch ch,,Чернівці Шевченко,Chernivtsi Shevchenko
Шш,Sh sh,,Шостка Кишеньки,Shostka Kyshenky
Щщ,Shch shch,,Щербухи Гоща Гаращенко,Shcherbukhy Hoshcha Harashchenko
Юю,"Yu
іu","initial position
in other positions",Юрій Корюківка,Yurii Koriukivka
Яя,Ya ia,"initial position
in other positions","Яготин Ярошенко Костянтин Знам’янка
Феодосія","Yahotyn Yaroshenko Kostiantyn Znamianka
Feodosiia"
"Notes: 1. Combination of letters ""зг"" is
transliterated as ""zgh"" (e.g., Згорани – Zghorany,
Розгон Rozghon) as opposed to ""zh"" – the equivalent of the Ukrainian
letter ""ж"".

Soft sign and the apostrophe are not reproduced in Latin.


Transliteration of first and last names of individuals and
geographical names is carried out by way of

letter‐for‐letter representation in Latin.","Notes: 1. Combination of letters ""зг"" is
transliterated as ""zgh"" (e.g., Згорани – Zghorany,
Розгон Rozghon) as opposed to ""zh"" – the equivalent of the Ukrainian
letter ""ж"".

Soft sign and the apostrophe are not reproduced in Latin.


Transliteration of first and last names of individuals and
geographical names is carried out by way of

letter‐for‐letter representation in Latin.","Notes: 1. Combination of letters ""зг"" is
transliterated as ""zgh"" (e.g., Згорани – Zghorany,
Розгон Rozghon) as opposed to ""zh"" – the equivalent of the Ukrainian
letter ""ж"".

Soft sign and the apostrophe are not reproduced in Latin.


Transliteration of first and last names of individuals and
geographical names is carried out by way of

letter‐for‐letter representation in Latin.","Notes: 1. Combination of letters ""зг"" is
transliterated as ""zgh"" (e.g., Згорани – Zghorany,
Розгон Rozghon) as opposed to ""zh"" – the equivalent of the Ukrainian
letter ""ж"".

Soft sign and the apostrophe are not reproduced in Latin.


Transliteration of first and last names of individuals and
geographical names is carried out by way of

letter‐for‐letter representation in Latin.","Notes: 1. Combination of letters ""зг"" is
transliterated as ""zgh"" (e.g., Згорани – Zghorany,
Розгон Rozghon) as opposed to ""zh"" – the equivalent of the Ukrainian
letter ""ж"".

Soft sign and the apostrophe are not reproduced in Latin.


Transliteration of first and last names of individuals and
geographical names is carried out by way of

letter‐for‐letter representation in Latin."
